Curator	Curator's notes	Deadline	Category	Song	Nathan	Rachel	Emily	Jonathan	Tera	Erik	Nana	Goose	Kristin	Jacob	Andreina	George	Jane	Tyler	Molly	Megan	Anna W	Average
Tyler	I like Charlie Puth quite a bit and went digging in some of his albums I didn’t really know and found this gem. V catchy melody.	4/26	Pop	I Don't Think That I Like Her - Charlie Puth	6.8	3.0	2.0	1.5	4.0	7.0	8.5	4.5	6.0	7.0	8.0	2.0	5.0		5.0			5.0
Tyler	V nice feel good song that was recommended by Spotify DJ X. Was an immediate add to my playlist.	4/26	Pop	Sweet Love - Stephen Sanchez	5.5	8.0	7.0	4.0	4.0	4.0	7.5	7.0	7.0	5.0	9.0	5.0	9.5		6.5			6.4
Nathan	I listen to this song when I am in a good mood and there isn't a nearby piano for me to jam out to Jon Schmidt.	5/10	Pop	All Will Be Well - Gabe Dixon Band		6.0	5.0	7.0	8.0	6.5	9.0	7.0	6.0	7.0	2.0	5.0	4.0	4.0				5.9
Nathan	Theo Katzman is better known for being the frontman of the band Vulfpeck, but his solo stuff is crazy good too. All of his songs are intricate, funky, and have interesting storytelling lyrics.	5/10	Pop	The Death of Us - Theo Katzman		6.6	6.5	5.5	2.0	7.0	3.0	8.2	5.0	5.0	2.3	8.0	8.0	4.0				5.5
Nathan	I love the raw honesty in the lyrics. Every time I listen to this song there is a new part that hits me. Very emotionally moving song. If you've never heard a guitar cry, listen to the solo at 1:42.	5/10	Pop	I Guess I Just Feel Like - John Mayer		4.0	6.5	5.0	10.0	6.0	1.5	3.6	5.0	8.0	3.0	4.5	3.0	7.0				5.2
Rachel	The most perfect spooky season vibe.	5/17	Pop	Dracula - Tame Impala	3.2		7.0	6.0	6.0	5.0	2.5	4.0	5.8	6.0	3.0	6.0	2.0	4.4	7.0			4.9
Rachel	This song was my introduction to Nat King Cole, and my friend that showed me this song just got married yesterday, so it’s especially sentimental right now.	5/17	Pop	(I Love You) For Sentimental Reasons	3.5		8.0	6.5	7.0	5.0	9.0	7.0	5.2	7.5	10.0	9.0	7.0	4.0	2.0			6.5
Rachel	The text of this song is a Lango (Ugandan) rainmaking prayer. Christopher Tim (the composer of Baba Yetu)’s does a superb job of painting the rain scene through his music, and the male soloist is *chef’s kiss*. I recommend watching the live performance on YouTube because they have closed captioning with the English translation, which really helps to add to the experience. The Music Nerds song is the first movement, but the whole thing is amazing.	5/17	Not Pop	Waloyo Yamoni - I	6.0		5.0	7.0	9.0	9.0	7.0	7.7	8.6	5.0	4.0	7.0	7.0	8.6	10.0			7.2
Emily	My most played artist of all time. Kendrick Lamar is the most influential rapper of his generation thanks to his complex, meaningful lyrics that often meld the struggles of the LA streets where he grew up, cultural issues, and deep psychological themes. This song in particular is about loving yourself despite challenging circumstances, and compares gang warfare with internal struggle against depression. The rap flow is constantly changing, from syncopation, to conversational, to fast paced, giving the song an improvised feel but never getting off sync with the rhythm. I love the funk/jazzy beat and the instrumental interlude. 	5/24	Pop	i - Kendrick Lamar						2.5						4.5						3.5
Emily	While I appreciate a catchy pop tune and clear storytelling, what really compels me are melodies that twist and turn unpredictably and impressionist lyrics that paint a mood. Mitski is my queen of unconventional melodic phrasing, and “Heaven” is a great example. The verses deviate and wander, never landing on the tonic, until in the chorus “oohs” we get a catchy hook and some melodic resolution, to make you comfortable again. I think this is a beautiful love song. 	5/24	Pop	Heaven - Mitski						4.0						4.0						4.0
Emily	You gotta listen to this piece on a good speaker at a high volume. Bask in the grand organ and the lush melodies.  In S-S’ own words about this symphony: "I gave everything to it I was able to give. What I have here accomplished, I will never achieve again."	5/24	Not Pop	Symphony No. 3, Mvmt 2 - Saint Saens						9.0						5.0						7.0
				Average Score	4.8	5.4	6.3	5.6	6.0	6.3	6.1	5.6	5.9	6.6	6.1	5.8	5.9	5.1	6.2	7.1	6.0	5.9
